Kod,Ders,Eğitmen(ler),Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm sınırlaması,CRN,Term
KIM 101E,General Chemistry I,Barış Yücel,Çarşamba,1230/1529,MED,65.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE EHN ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMIK IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME KON KONE MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,10805.0,2017 - 2018 Güz Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Seda Bayındır Uluskan,Çarşamba,0830/1029,MDB,65.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20585.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Barış Ertem,Salı,1030/1229,ISB,65.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20607.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,İsmail Kandil,Salı,1030/1229,MDB,65.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20615.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Burcu Kurt,Salı,1030/1229,ISB,64.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20619.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Yusuf Ziya Altıntaş,Salı,1030/1229,FEB,64.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20634.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Burcu Kurt,Salı,1330/1529,ISB,63.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20620.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Sait Kofoğlu,Salı,1530/1729,MKB,63.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20514.0,2018 - 2019 Bahar Dönemi
KIM 101E,General Chemistry I,Nejla Çini,Çarşamba,1230/1529,INB,79.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE EHN ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMIK IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME KON KONE MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,10827.0,2017 - 2018 Güz Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Serap Sarıhan,Çarşamba,0830/1029,MDB,65.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20572.0,2018 - 2019 Bahar Dönemi
KIM 101E,General Chemistry I,Şennur Özçelik,Çarşamba,1230/1529,MDB,78.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE EHN ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMIK IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME KON KONE MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,10808.0,2017 - 2018 Güz Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Yusuf Ziya Altıntaş,Çarşamba,0830/1029,FEB,65.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,25345.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Emin Alp Malkoç,Çarşamba,1330/1529,INB,62.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20532.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Burcu Kurt,Çarşamba,0930/1129,INB,65.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20622.0,2018 - 2019 Bahar Dönemi
KIM 101E,General Chemistry I,Mehmet Emin Çınar,Çarşamba,1230/1529,MDB,81.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE EHN ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMIK IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME KON KONE MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,10807.0,2017 - 2018 Güz Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Serap Sarıhan,Çarşamba,1030/1229,MDB,64.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20573.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Yusuf Ziya Altıntaş,Çarşamba,1030/1229,FEB,65.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20636.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Barış Ertem,Çarşamba,1030/1229,EEB,64.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,25342.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Seda Bayındır Uluskan,Çarşamba,1030/1229,MDB,65.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,25343.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Emin Alp Malkoç,Çarşamba,1130/1329,INB,63.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20529.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Burcu Kurt,Çarşamba,1130/1329,INB,66.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20623.0,2018 - 2019 Bahar Dönemi
ATA 102,Atatürk İlk & İnkılap Trh II,Sait Kofoğlu,Çarşamba,1330/1529,MED,65.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI DUIE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE SEH TEK TEKE TEL THO UCK UCKE UZB UZBE,20517.0,2018 - 2019 Bahar Dönemi
END 232E,Ergonomics,Fethi Çalışır,Çarşamba,0930/1229,ISB,82.0,65,END ENDE,23248.0,2017 - 2018 Bahar Dönemi
TUR 101,Türk Dili I,Özlem Kara,Çarşamba,1030/1229,INB,72.0,65,BIO BIOE BLG BLGE CAB CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE PEM PEME PET PETE SBP SBPE SEH SES TEK TEKE TEL THO UCK UCKE UZB UZBE,10871.0,2019 - 2020 Güz Dönemi
KIM 104L,Organik Kimya Lab.,"Hacer Ayşen Önen, Okan Sirkecioğlu",Pazartesi,1530/1729,FEB,62.0,65,GID KMM,20844.0,2019 - 2020 Bahar Dönemi
TUR 101,Türk Dili I,Timur Aydın,Cuma,1330/1529,MMB,65.0,65,BIO BIOE BLG BLGE CAB CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE PEM PEME PET PETE SBP SBPE SEH SES TEK TEKE TEL THO UCK UCKE UZB UZBE,10951.0,2019 - 2020 Güz Dönemi
TUR 101,Türk Dili I,Hamide Aliyazıcıoğlu,Cuma,1030/1229,MEDB,71.0,65,BIO BIOE BLG BLGE CAB CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE PEM PEME PET PETE SBP SBPE SEH SES TEK TEKE TEL THO UCK UCKE UZB UZBE,10857.0,2019 - 2020 Güz Dönemi
END 431,Yönetim ve Organizasyon,Seçkin Polat,Salı,1330/1629,MDB,57.0,65,END,12016.0,2019 - 2020 Güz Dönemi
END 421E,Production Planning&Control;,Şule Itır Satoğlu,Salı,0930/1229,ISB,42.0,65,END ENDE KOM KOME,13935.0,2018 - 2019 Güz Dönemi
TUR 101,Türk Dili I,Timur Aydın,Cuma,1030/1229,MMB,72.0,65,BIO BIOE BLG BLGE CAB CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE PEM PEME PET PETE SBP SBPE SEH SES TEK TEKE TEL THO UCK UCKE UZB UZBE,10950.0,2019 - 2020 Güz Dönemi
END 341,İş Etüdü,Çiğdem Altın Gümüşsoy,Salı,0930/1229,ISB,68.0,65,END,14354.0,2018 - 2019 Güz Dönemi
TUR 101,Türk Dili I,Aslı Kantarcı,Cuma,1330/1529,MDB,63.0,65,BIO BIOE BLG BLGE CAB CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE PEM PEME PET PETE SBP SBPE SEH SES TEK TEKE TEL THO UCK UCKE UZB UZBE,10830.0,2019 - 2020 Güz Dönemi
TUR 101,Türk Dili I,Hamide Aliyazıcıoğlu,Cuma,1330/1529,MEDB,65.0,65,BIO BIOE BLG BLGE CAB CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE PEM PEME PET PETE SBP SBPE SEH SES TEK TEKE TEL THO UCK UCKE UZB UZBE,10859.0,2019 - 2020 Güz Dönemi
KIM 104L,Organik Kimya Lab.,"Nilgün Kızılcan, Yeşim Gürsel",Pazartesi,1330/1529,FEB,65.0,65,GID KMM,20843.0,2019 - 2020 Bahar Dönemi
TUR 101,Türk Dili I,Aslı Kantarcı,Cuma,1030/1229,MDB,75.0,65,BIO BIOE BLG BLGE CAB CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE EHN ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE PEM PEME PET PETE SBP SBPE SEH SES TEK TEKE TEL THO UCK UCKE UZB UZBE,10827.0,2019 - 2020 Güz Dönemi
FIZ 201E,Modern Physics,Metin Hüner,Çarşamba,1230/1529,,61.0,65,EHB EHBE ELE ELH ELK ELKE TEL UCK UCKE UZB UZBE,11063.0,2020 - 2021 Güz Dönemi
FIZ 201,Modern Fizik,Mehmet Murat Sunar,Salı,1430/1729,,110.0,65,CHZ DEN FIZM GEM JEF JEO KOM MAD MET MTO PET UCK UCKM UZB,10519.0,2020 - 2021 Güz Dönemi
END 305E,Data Analytics for Business,Ömer Faruk Beyca,Pazartesi,1130/1429,ISB,65.0,65,END ENDE,22591.0,2018 - 2019 Bahar Dönemi
KIM 223EL,Inorganic Chemistry Lab,"Ahmet Gül, Esin Hamuryudan",Çarşamba,1230/1529,FEB,60.0,65,KIM KIME,20925.0,2019 - 2020 Bahar Dönemi
MAT 202,Sayısal Yöntemler,Ali Yapar,Salı,1330/1629,EEB,65.0,65,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JEF JEO KOM KON MAD MAK MET PET TEK TEL,21005.0,2018 - 2019 Bahar Dönemi
MAT 202E,Numerical Methods,Özgür Özdemir,Salı,1330/1629,EEB,66.0,65,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UZB UZBE,21013.0,2018 - 2019 Bahar Dönemi
KIM 101EL,General Chemistry I Lab,Erdem Yavuz,Pazartesi,0930/1129,,64.0,65,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEL UCK UCKE UZB UZBE,10042.0,2020 - 2021 Güz Dönemi
END 311E,Statistics,Çiğdem Kadaifçi,Perşembe,1430/1729,EEB,57.0,65,END ENDE,14198.0,2019 - 2020 Güz Dönemi
BLG 231E,Digital Circuits,Ali Sinan Çabuk,Cuma,0830/1129,EEB,76.0,64.0,ELK ELKE KOM KOME MKN,22992.0,2021 - 2022 Bahar Dönemi
EHB 211E,Basics of Electrical Circuits,Müştak Erhan Yalçın,Pazartesi,0830/1129,EEB,68.0,64.0,BLG BLGE EHB EHBE ELE ELK ELKE KOM KOME TEL,10694.0,2021 - 2022 Güz Dönemi
KIM 101E,General Chemistry I,Barış Kışkan,Perşembe,1430/1729,FEB,64.0,64,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,20070.0,2019 - 2020 Bahar Dönemi
KIM 101E,General Chemistry I,Altuğ Mert Sevim,Perşembe,1430/1729,FEB,64.0,64,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,20068.0,2019 - 2020 Bahar Dönemi
KIM 101E,General Chemistry I,Şennur Özçelik,Perşembe,1430/1729,FEB,63.0,64,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,20066.0,2019 - 2020 Bahar Dönemi
KIM 101E,General Chemistry I,Barış Yücel,Pazartesi,1430/1729,EEB,64.0,64,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,20037.0,2019 - 2020 Bahar Dönemi
KIM 101E,General Chemistry I,Demet Çolak,Pazartesi,1430/1729,EEB,64.0,64,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,20038.0,2019 - 2020 Bahar Dönemi
KIM 101E,General Chemistry I,Nejla Çini,Pazartesi,1430/1729,EEB,64.0,64,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE DUI EHB EHBE ELE ELH ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIMM KMM KMME KMMM KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MTO MTOE PET PETE SEH TEK TEKE TEKM TEL UCK UCKE UCKM UZB UZBE UZBM,20039.0,2019 - 2020 Bahar Dönemi
KIM 101,Genel Kimya I,Kadriye Işıl Berker Çetin,Çarşamba,0830/1129,MDB,69.0,64,BIO BLG CHZ DEN EHB ELE ELH ELK GID IML INS JEF JEO KIMM KMM KMMM KOM MAD MAK MAT MET PET TEK TEKM TEL UCK UCKM UZB UZBM,10311.0,2019 - 2020 Güz Dönemi
KIM 101,Genel Kimya I,Ferah Çalışır,Çarşamba,0830/1129,EEB,69.0,64,BIO BLG CHZ DEN EHB ELE ELH ELK GID IML INS JEF JEO KIMM KMM KMMM KOM MAD MAK MAT MET PET TEK TEKM TEL UCK UCKM UZB UZBM,10309.0,2019 - 2020 Güz Dönemi
KIM 101,Genel Kimya I,İbrahim Özçeşmeci,Çarşamba,0830/1129,KMB,69.0,64,BIO BLG CHZ DEN EHB ELE ELH ELK GID IML INS JEF JEO KIMM KMM KMMM KOM MAD MAK MAT MET PET TEK TEKM TEL UCK UCKM UZB UZBM,10310.0,2019 - 2020 Güz Dönemi
KIM 101,Genel Kimya I,Demet Çolak,Çarşamba,0830/1129,EEB,70.0,64,BIO BLG CHZ DEN EHB ELE ELH ELK GID IML INS JEF JEO KIMM KMM KMMM KOM MAD MAK MAT MET PET TEK TEKM TEL UCK UCKM UZB UZBM,10306.0,2019 - 2020 Güz Dönemi
